ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,4.83,50.43, 777, 1649
 10,, 3,4.97,30.30, 444, 1342
 11,, 3,5.19,14.27, 98, 296
 12,, 2,8.59,9.43, 2, 3
 13,, 3,9.33,10.45, 3, 5
 14,, 5,7.34,8.27, 2, 3
 15,, 6,9.58,114.63, 2531, 5707
 16,, 1,9.22,10.94, 2, 11
 17,, 3,9.84,11.78, 5, 14
 18,, 2,13.37,14.09, 1, 4
 19,, 1,9.99,10.80, 1, 1
 2,, 3,5.44,10.86, 38, 75
 20,, 1,8.15,8.83, 1, 1
 3,, 3,3.94,8.64, 43, 85
 4,, 5,6.94,22.97, 202, 995
 5,, 3,8.91,9.98, 1, 1
 6,, 2,9.92,10.55, 1, 1
 7,, 2,8.80,9.67, 3, 8
 8,, 2,2.51,15.70, 303, 608
 9,, 2,4.14,10.66, 137, 275
